name#state#district#parties#year#votes
Hudson, Richard#NC#8#Republican#2012#160695
Kissell, Larry#NC#8#Democratic#2012#137139
Blue, Antonio#NC#8#Write-In#2012#3990
Pittenger, Robert#NC#9#Republican#2012#194537
Roberts, Jennifer#NC#9#Democratic#2012#171503
Campbell, Curtis#NC#9#Libertarian#2012#9650
McHenry, Patrick#NC#10#Republican#2012#190826
Keever, Patsy#NC#10#Democratic#2012#144023
Meadows, Mark#NC#11#Republican#2012#190319
Rogers, Hayden#NC#11#Democratic#2012#141107
Watt, Mel#NC#12#Democratic#2012#247591
Brosch, Jack#NC#12#Republican#2012#63317
Holding, George#NC#13#Republican#2012#210495
Malone, Charles#NC#13#Democratic#2012#160115
Cramer, Kevin#ND#0#Republican#2012#173433
Gulleson, Pam#ND#0#Democratic-Nonpartisan League#2012#131869
Olson, Eric#ND#0#Libertarian#2012#10261
Chabot, Steve#OH#1#Republican#2012#201907
Sinnard, Jeff#OH#1#Democratic#2012#131490
Berns, Jim#OH#1#Libertarian#2012#9674
Stevenson, Rich#OH#1#Green#2012#6645
Wenstrup, Brad#OH#2#Republican#2012#194299
Smith, William R.#OH#2#Democratic#2012#137082
Beatty, Joyce#OH#3#Democratic#2012#201921
Long, Chris#OH#3#Republican#2012#77903
Ehrbar, Richard#OH#3#Libertarian#2012#9462
Fitrakis, Bob#OH#3#Green#2012#6388
Brown, Jeff#OH#3#Write-In#2012#5
Jordan, Jim#OH#4#Republican#2012#182643
Slone, Jim#OH#4#Democratic#2012#114214
Kalla, Chris#OH#4#Write-In,Libertarian,Libertarian#2012#16141
Latta, Bob#OH#5#Republican#2012#201514
Zimmann, Angela#OH#5#Democratic#2012#137806
Eberly, Eric#OH#5#Libertarian#2012#12558
Johnson, Bill#OH#6#Republican#2012#164536
Wilson, Charlie#OH#6#Democratic#2012#144444
Gibbs, Bob#OH#7#Republican#2012#178104
Healy-Abrams, Joyce R.#OH#7#Democratic#2012#137708
Boehner, John A.#OH#8#Republican#2012#246380
Condit, James J., Jr.#OH#8#Write-In#2012#62
Kaptur, Marcy#OH#9#Democratic#2012#217775
Wurzelbacher, Samuel J.#OH#9#Republican#2012#68666
Stipe, Sean P.#OH#9#Libertarian#2012#11725
Turner, Mike#OH#10#Republican#2012#208201
Neuhardt, Sharen Swartz#OH#10#Democratic#2012#131097
Harlow, David A.#OH#10#Libertarian#2012#10373
Fudge, Marcia L.#OH#11#Democratic#2012#258378
Tiberi, Pat#OH#12#Republican#2012#233874
Reese, Jim#OH#12#Democratic#2012#134614
Ryan, Tim#OH#13#Democratic#2012#235492
Agana, Marisha G.#OH#13#Republican#2012#88120
Joyce, David P.#OH#14#Republican#2012#183660
Blanchard, Dale Virgil#OH#14#Democratic#2012#131638
Mastromatteo, Elaine R.#OH#14#Green#2012#13038
Macko, David#OH#14#Libertarian#2012#11536
Zurbrugg, Aaron J.#OH#14#Write-In#2012#6
Winfield, Steven T.#OH#14#Write-In#2012#5
Robinson, Erick Donald#OH#14#Write-In#2012#1
Stivers, Steve#OH#15#Republican#2012#205277
Lang, Pat#OH#15#Democratic#2012#128188
Renacci, Jim#OH#16#Republican#2012#185167
Sutton, Betty#OH#16#Democratic#2012#170604
Brindenstine, Jim#OK#1#Republican#2012#181084
Olson, John#OK#1#Democratic#2012#91421
Allen, Craig#OK#1#Independent#2012#12807
Mullin, Markwayne#OK#2#Republican#2012#143701
Wallace, Rob#OK#2#Democratic#2012#96081
Fulks, Michael G.#OK#2#Independent#2012#10830
Lucas, Frank D.#OK#3#Republican#2012#201744
Murray, Timothy Ray#OK#3#Democratic#2012#53472
Sanders, William M.#OK#3#Independent#2012#12787
Cole, Tom#OK#4#Republican#2012#176740
Bebo, Donna Marie#OK#4#Democratic#2012#71846
Harris, RJ#OK#4#Independent#2012#11745
Lankford, James#OK#5#Republican#2012#153603
Guild, Tom#OK#5#Democratic#2012#97504
Martin, Pat#OK#5#Independent#2012#5394
Murphy, Robert T.#OK#5#Independent#2012#5176
Bonamici, Suzanne#OR#1#Democratic,Working Families#2012#197845
Morgan, Delinda#OR#1#Republican#2012#109699
Reynolds, Steven#OR#1#Libertarian,Pacific Green,Progressive#2012#15009
Ekstrom, Bob#OR#1#Constitution#2012#8918
Walden, Greg#OR#2#Republican#2012#228043
Segers, Joyce B.#OR#2#Democratic,Working Families#2012#96741
Tabor, Joe#OR#2#Libertarian#2012#7025
Blumenauer, Earl#OR#3#Democratic#2012#264979
Green, Ronald#OR#3#Republican#2012#70325
Broadnax, Woodrow#OR#3#Pacific Green,Progressive#2012#13159
Cline, Michael#OR#3#Libertarian#2012#6640
DeFazio, Peter A.#OR#4#Democratic,Progressive,Working Families#2012#212866
Robinson, Art#OR#4#Republican,Constitution#2012#140549
Huntting, Chuck#OR#4#Libertarian#2012#6205
Schrader, Kurt#OR#5#Democratic#2012#177229
Thompson, Fred#OR#5#Republican#2012#139223
Lugo, Christina Jean#OR#5#Pacific Green#2012#7516
Baldwin, Raymond#OR#5#Constitution#2012#3600
Brady, Robert A.#PA#1#Democratic#2012#235394
Featherman, John#PA#1#Republican#2012#41708
Fattah, Chaka#PA#2#Democratic#2012#318176
Mansfield, Robert Allen, Jr.#PA#2#Republican#2012#33381
Foster, James#PA#2#Independent#2012#4829
Kelly, Mike#PA#3#Republican#2012#165826
Eaton, Missa#PA#3#Democratic#2012#123933
Porter, Steven#PA#3#Independent#2012#12755
Perry, Scott#PA#4#Republican#2012#181603
Perkinson, Harry#PA#4#Democratic#2012#104643
Wolf, Wayne W.#PA#4#Independent#2012#11524
Koffenberger, Michael Bryant#PA#4#Libertarian#2012#6210
Thompson, Glenn#PA#5#Republican#2012#177740
Dumas, Charles#PA#5#Democratic#2012#104725
Gerlach, Jim#PA#6#Republican#2012#191725
Trivedi, Manan M.#PA#6#Democratic#2012#143803
Meehan, Patrick L.#PA#7#Republican#2012#209942
Badey, George#PA#7#Democratic#2012#143509
Fitzpatrick, Mike#PA#8#Republican#2012#199379
Boockvar, Kathy#PA#8#Democratic#2012#152859
Shuster, Bill#PA#9#Republican#2012#169177
Ramsburg, Karen#PA#9#Write-In,Democratic,Democratic#2012#105128
Marino, Thomas A.#PA#10#Republican#2012#179563
Scollo, Philip#PA#10#Democratic#2012#94227
Barletta, Lou#PA#11#Republican#2012#166967
Stilp, Gene#PA#11#Democratic#2012#118231
Rothfus, Keith J.#PA#12#Republican#2012#175352
Critz, Mark S.#PA#12#Democratic#2012#163589
Schwartz, Allyson Y.#PA#13#Democratic#2012#209901
Rooney, Joseph James#PA#13#Republican#2012#93918
Doyle, Mike#PA#14#Democratic#2012#251932
Lessmann, Hans F.#PA#14#Republican#2012#75702
Dent, Charles W.#PA#15#Republican#2012#168960
Daugherty, Richard#PA#15#Democratic#2012#128764
Pitts, Joseph R.#PA#16#Republican#2012#156192
Strader, Aryanna C.#PA#16#Democratic#2012#111185
Murphy, John A#PA#16#Independent#2012#12250
Bednarski, James F.#PA#16#Bednarski for Congress#2012#5154
Cartwright, Matthew A.#PA#17#Democratic#2012#161393
Cummings, Laureen A.#PA#17#Republican#2012#106208
Murphy, Tim#PA#18#Republican#2012#216727
Maggi, Lawrence#PA#18#Democratic#2012#122146
Cicilline, David N.#RI#1#Democratic#2012#108612
Doherty, Brendan P.#RI#1#Republican#2012#83737
Vogel, David S.#RI#1#Independent#2012#12504
Anyone Else#RI#1#Write-In#2012#8
Mouse, Mickey#RI#1#Write-In#2012#6
Langevin, James R.#RI#2#Democratic#2012#124067
Riley, Michael G.#RI#2#Republican#2012#78189
Collins, Abel G.#RI#2#Independent#2012#20212
None#RI#2#Write-In#2012#25
Scott, Tim#SC#1#Republican#2012#179908
Rose, Bobbie#SC#1#Democratic,Working Families#2012#103557
Blandford, Keith#SC#1#Libertarian#2012#6334
Wilson, Joe#SC#2#Republican#2012#196116
Duncan, Jeff#SC#3#Republican#2012#169512
Doyle, Brian Ryan B.#SC#3#Democratic#2012#84735
Gowdy, Trey#SC#4#Republican#2012#173201
Morrow, Deb#SC#4#Working Families,Democratic#2012#89964
Sumerel, Jeff#SC#4#Green#2012#3390
Mulvaney, Mick#SC#5#Republican#2012#154324
Knott, Joyce#SC#5#Democratic,Working Families#2012#123443
"Clyburn, James E. ""Jim"""#SC#6#Democratic#2012#218717
Muhammad, Nammu Y.#SC#6#Green#2012#12920
Rice, Tom#SC#7#Republican#2012#153068
Tinubu, Gloria Bromell#SC#7#Working Families,Democratic#2012#122389
Noem, Kristi#SD#0#Republican#2012#207640
Varilek, Matt#SD#0#Democratic#2012#153789
Roe, Phil#TN#1#Republican#2012#182252
Woodruff, Alan#TN#1#Democratic#2012#47663
Brackett, Karen Sherry#TN#1#Independent#2012#4837
Smith, Robert N.#TN#1#Green#2012#2872
Salyer, Michael D.#TN#1#Independent#2012#2048
Duncan, John J., Jr.#TN#2#Republican#2012#196894
Goodale, Troy Christopher#TN#2#Democratic#2012#54522
Dryer, Norris#TN#2#Green#2012#5733
Samples, Greg#TN#2#Independent#2012#4382
Stewart, Brandon#TN#2#Independent#2012#2974
Fleischmann, Chuck#TN#3#Republican#2012#157830
Headrick, Mary M.#TN#3#Democratic#2012#91094
Deniston, Matthew#TN#3#Independent#2012#7905
Howard-Hill, Lady J Jean#TN#3#Write-In#2012#62
Hall, Richard#TN#3#Write-In#2012#18
DesJarlais, Scott#TN#4#Republican#2012#128568
Stewart, Eric#TN#4#Democratic#2012#102022
Cooper, Jim#TN#5#Democratic#2012#171621
Staats, Brad#TN#5#Republican#2012#86240
Miglietta, John#TN#5#Green#2012#5222
Puckett, Sean#TN#5#Write-In#2012#12
Black, Diane#TN#6#Republican#2012#184383
Beasley, Scott#TN#6#Independent#2012#34766
Riley, Pat#TN#6#Green#2012#21633
Robinson, Rachel#TN#6#Write-In#2012#455
Thompson, Michael H.#TN#6#Write-In#2012#4
Blackburn, Marsha#TN#7#Republican#2012#182730
Amouzouvik, Credo#TN#7#Democratic#2012#61679
Switzer, Howard#TN#7#Green#2012#4640
Arnold, Jack#TN#7#Independent#2012#4256
Akin, Wm. Ryan#TN#7#Independent#2012#2740
Ladner, Leonard D. (Lenny)#TN#7#Independent#2012#1261
Fincher, Stephen Lee#TN#8#Republican#2012#190923
Dixon, Timothy D.#TN#8#Democratic#2012#79490
Hart, James#TN#8#Independent#2012#6139
Rawles, Mark J.#TN#8#Independent#2012#2870
Cohen, Steve#TN#9#Democratic#2012#188422
Flinn, George S., Jr.#TN#9#Republican#2012#59742
Saulsberry, Brian L.#TN#9#Independent#2012#1448
Joiner, Gregory M.#TN#9#Independent#2012#1372
Smith, Kimberlee E.#TN#9#Write-In#2012#2
Bass, Herbert A.#TN#9#Write-In#2012#1
Gohmert, Louie#TX#1#Republican#2012#178322
McKellar, Shirley J.#TX#1#Democratic#2012#67222
Patterson, Clark#TX#1#Libertarian#2012#4114
Poe, Ted#TX#2#Republican#2012#159664
Dougherty, Jim#TX#2#Democratic#2012#80512
Duncan, Kenneth#TX#2#Libertarian#2012#4140
Roberts, Mark A.#TX#2#Green#2012#2012
Johnson, Sam#TX#3#Republican#2012#187180
Hall, Ralph M.#TX#4#Republican#2012#182679
Hathcox, VaLinda#TX#4#Democratic#2012#60214
Griffing, Thomas#TX#4#Libertarian#2012#7262
Rostek, Fred#TX#4#Write-In#2012#188
Hensarling, Jeb#TX#5#Republican#2012#134091
Mrosko, Linda S.#TX#5#Democratic#2012#69178
Ashby, Ken#TX#5#Libertarian#2012#4961
Barton, Joe L.#TX#6#Republican#2012#145019
Sanders, Kenneth#TX#6#Democratic#2012#98053
Chauvin, Hugh#TX#6#Libertarian#2012#4847
Parmer, Brandon#TX#6#Green#2012#2017
Culberson, John#TX#7#Republican#2012#142793
Cargas, James#TX#7#Democratic#2012#85553
Parks, Drew#TX#7#Libertarian#2012#4669
Findley, Lance#TX#7#Green#2012#1822
Brady, Kevin#TX#8#Republican#2012#194043
Burns, Neil#TX#8#Democratic#2012#51051
Hall, Roy#TX#8#Libertarian#2012#5958
Green, Al#TX#9#Democratic#2012#144075
Mueller, Steve#TX#9#Republican#2012#36139
Foster, Vanessa#TX#9#Green#2012#1743
Wieder, John#TX#9#Libertarian#2012#1609
McCaul, Michael#TX#10#Republican#2012#159783
Cadien, Tawana W.#TX#10#Democratic#2012#95710
Priest, Richard#TX#10#Libertarian#2012#8526
Conaway, Mike#TX#11#Republican#2012#177742
Riley, Jim#TX#11#Democratic#2012#41970
Ballard, Scott J.#TX#11#Libertarian#2012#6311
Granger, Kay#TX#12#Republican#2012#175649
Robinson, Dave#TX#12#Democratic#2012#66080
Solodow, Matthew#TX#12#Libertarian#2012#5983
Thornberry, Mac#TX#13#Republican#2012#187775
Deek, John Robert#TX#13#Libertarian#2012#12701
Houston, Keith F.#TX#13#Green#2012#5912
Weber, Randy#TX#14#Republican#2012#131460
Lampson, Nick#TX#14#Democratic#2012#109697
Grady, Zach#TX#14#Libertarian#2012#3619
Smith, Rhett Rosenquest#TX#14#Green#2012#1063
Hinojosa, Rubén#TX#15#Democratic#2012#89296
Brueggemann, Dale A.#TX#15#Republican#2012#54056
Finch, Ron#TX#15#Libertarian#2012#3309
O'Rourke, Beto#TX#16#Democratic#2012#101403
Carrasco, Barbara#TX#16#Republican#2012#51043
Sodoy, Junart#TX#16#Libertarian#2012#2559
Flores, Bill#TX#17#Republican#2012#143284
Easton, Ben#TX#17#Libertarian#2012#35978
Jackson Lee, Sheila#TX#18#Democratic#2012#146223
Seibert, Sean#TX#18#Republican#2012#44015
Barber, Christopher#TX#18#Libertarian#2012#4694
Neugebauer, Randy#TX#19#Republican#2012#163239
Peterson, Richard (Chip)#TX#19#Libertarian#2012#28824
Rosa, David#TX#20#Republican#2012#62376
Potts, A.E. (Tracy)#TX#20#Libertarian#2012#3143
Diaz, Antonio#TX#20#Green#2012#1626
Castro, Joaquin#TX#20#Democratic#2012#119032
Smith, Lamar#TX#21#Republican#2012#187015
Duval, Candace E.#TX#21#Democratic#2012#109326
Liberty, John-Henry#TX#21#Libertarian#2012#12524
Olson, Pete#TX#22#Republican#2012#160668
Rogers, Kesha#TX#22#Democratic#2012#80203
Susman, Steven#TX#22#Libertarian#2012#5986
Cook, Don#TX#22#Green#2012#4054
Gallego, Pete P.#TX#23#Democratic#2012#96676
"Canseco, Francisco ""Quico"""#TX#23#Republican#2012#87547
Blunt, Jeffrey C.#TX#23#Libertarian#2012#5841
Scharf, Ed#TX#23#Green#2012#2105
Marchant, Kenny E.#TX#24#Republican#2012#148586
Rusk, Tim#TX#24#Democratic#2012#87645
Stathas, John#TX#24#Libertarian#2012#7258
Williams, Roger#TX#25#Republican#2012#154245
Henderson, Elaine M.#TX#25#Democratic#2012#98827
Dewey, Betsy#TX#25#Libertarian#2012#10860
Burgess, Michael#TX#26#Republican#2012#176642
Sanchez, David#TX#26#Democratic#2012#74237
Boler, Mark#TX#26#Libertarian#2012#7844
Farenthold, Blake#TX#27#Republican#2012#120684
Harrison, Rose Meza#TX#27#Democratic#2012#83395
Baldwin, Bret#TX#27#Independent#2012#5354
Byrd, Corrie#TX#27#Libertarian#2012#3218
Cuellar, Henry#TX#28#Democratic#2012#112456
Hayward, William R.#TX#28#Republican#2012#49309
Hisel, Patrick#TX#28#Libertarian#2012#2473
Cary, Michael D.#TX#28#Green#2012#1407
Green, Gene#TX#29#Democratic#2012#86053
Stanczak, James#TX#29#Libertarian#2012#4996
Selva, Maria#TX#29#Green#2012#4562
Johnson, Eddie Bernice#TX#30#Democratic#2012#171059
Washington, Travis, Jr.#TX#30#Republican#2012#41222
Rankin, Ed#TX#30#Libertarian#2012#4733
Carter, John R.#TX#31#Republican#2012#145348
Wyman, Stephen M.#TX#31#Democratic#2012#82977
Garofolo, Ethan#TX#31#Libertarian#2012#8862
Sessions, Pete#TX#32#Republican#2012#146653
McGovern, Katherine Savers#TX#32#Democratic#2012#99288
Hollist, Seth Jewel#TX#32#Libertarian#2012#5695
Veasey, Marc#TX#33#Democratic#2012#85114
Bradley, Chuck#TX#33#Republican#2012#30252
Lindsay, Ed#TX#33#Green#2012#2009
Vela, Filemon#TX#34#Democratic#2012#89606
Bradshaw, Jessica Puente#TX#34#Republican#2012#52448
"Shanklin, Steven ""Ziggy"""#TX#34#Libertarian#2012#2724
Doggett, Lloyd#TX#35#Democratic#2012#105626
Narvaiz, Susan#TX#35#Republican#2012#52894
Leone, Ross Lynn#TX#35#Libertarian#2012#4082
Owen, Meghan#TX#35#Green#2012#2540
Alvarado, Simon#TX#35#Write-In#2012#37
Stockman, Steve#TX#36#Republican#2012#165405
Martin, Max#TX#36#Democratic#2012#62143
Cole, Michael K.#TX#36#Libertarian#2012#6284
Bishop, Rob#UT#1#Republican#2012#175487
McAleer, Donna M.#UT#1#Democratic#2012#60611
Phipps, Sherry#UT#1#Constitution#2012#9430
Stewart, Chris#UT#2#Republican#2012#154523
Seegmiller, Jay#UT#2#Democratic#2012#83176
Garrard, Jonathan D.#UT#2#Constitution#2012#5051
Andrade, Joseph#UT#2#Unaffiliated#2012#2971
Kimball, Charles E.#UT#2#Unaffiliated#2012#2824
Chaffetz, Jason#UT#3#Republican#2012#198828
Simonsen, Soren#UT#3#Democratic#2012#60719
Matheson, Jim#UT#4#Democratic#2012#119803
Love, Mia B.#UT#4#Republican#2012#119035
Vein, Jim L.#UT#4#Libertarian#2012#6439
Welch, Peter#VT#0#Democratic,Working Families#2012#208600
Donka, Mark#VT#0#Republican#2012#67543
"Desrochers, James ""Sam"""#VT#0#Independent#2012#8302
Newton, Jane#VT#0#Liberty Union#2012#4065
LaFramboise, Andre#VT#0#Vote KISS#2012#1153
"Wittman, Robert J. ""Rob"""#VA#1#Republican#2012#200845
Cook, Adam M.#VA#1#Democratic#2012#147036
Parker, G. Gail#VA#1#Independent Green#2012#8308
Rigell, E. Scott#VA#2#Republican#2012#166231
Hirschbiel, Paul O., Jr.#VA#2#Democratic#2012#142548
"Scott, Robert C. ""Bobby"""#VA#3#Democratic#2012#259199
Longo, Dean J.#VA#3#Republican#2012#58931
Forbes, J. Randy#VA#4#Republican#2012#199292
Ward, Ella P.#VA#4#Democratic#2012#150190
Hurt, Robert#VA#5#Republican#2012#193009
Douglass, John Wade#VA#5#Democratic#2012#149214
Hildebrandt, Kenneth J.#VA#5#Independent Green#2012#5500
"Goodlatte, Robert W. ""Bob"""#VA#6#Republican#2012#211278
Schmookler, Andy B.#VA#6#Democratic#2012#111949
Cantor, Eric I.#VA#7#Republican#2012#222983
Powell, E. Wayne#VA#7#Democratic#2012#158012
"Moran, James P. ""Jim,"" Jr."#VA#8#Democratic#2012#226847
Murray, J. Patrick#VA#8#Republican#2012#107370
Howell, Jason J.#VA#8#Independent#2012#10180
Murphy, Janet#VA#8#Independent Green#2012#5985
Griffith, H. Morgan#VA#9#Republican#2012#184882
Flaccavento, Anthony J.#VA#9#Democratic#2012#116400
Wolf, Frank R.#VA#10#Republican#2012#214038
Cabral, Kristin A.#VA#10#Democratic#2012#142024
Chisholm, J. Kevin#VA#10#Independent#2012#9855
"Connolly, Gerald E. ""Gerry"""#VA#11#Democratic#2012#202606
Perkins, Chris S.#VA#11#Republican#2012#117902
Gibson, Mark T.#VA#11#Independent#2012#3806
DeCarlo, Christopher F.#VA#11#Independent#2012#3027
Galdo, Joe F. Jr.#VA#11#Green#2012#2195
Marchetti, Peter M.#VA#11#Independent Green#2012#1919
DelBene, Suzan#WA#1#Democratic#2012#177025
Koster, John#WA#1#Republican#2012#151187
Larsen, Rick#WA#2#Democratic#2012#184826
Matthews, Dan#WA#2#Republican#2012#117465
Beutler, Jaime Herrera#WA#3#Republican#2012#177446
Haugen, Jon T.#WA#3#Democratic#2012#116438
Hastings, Doc#WA#4#Republican#2012#154749
Baechler, Mary#WA#4#Democratic#2012#78940
Rodgers, Cathy McMorris#WA#5#Republican#2012#191066
Cowan, Rich#WA#5#Democratic#2012#117512
Kilmer, Derek#WA#6#Democratic#2012#186661
Driscoll, Bill#WA#6#Republican#2012#129725
McDermott, Jim#WA#7#Democratic#2012#298368
Bemis, Ron#WA#7#Republican#2012#76212
Reichert, Dave#WA#8#Republican#2012#180204
Porterfield, Karen#WA#8#Democratic#2012#121886
Smith, Adam#WA#9#Democratic#2012#192034
Postma, Jim#WA#9#Republican#2012#76105
Heck, Denny#WA#10#Democratic#2012#163036
Muri, Richard (Dick)#WA#10#Republican#2012#115381
McKinley, David B.#WV#1#Republican#2012#133809
Thorn, Sue#WV#1#Democratic#2012#80342
Capito, Shelley Moore#WV#2#Republican#2012#158206
Swint, Howard#WV#2#Democratic#2012#68560
Rahall, Nick J., II#WV#3#Democratic#2012#108199
Snuffer, Rick#WV#3#Republican#2012#92238
Ryan, Paul#WI#1#Republican#2012#200423
Zerban, Rob#WI#1#Democratic#2012#158414
Deschler, Keith#WI#1#Libertarian#2012#6054
Pocan, Mark#WI#2#Democratic#2012#265422
Lee, Chad#WI#2#Republican#2012#124683
Kopsick, Joe#WI#2#Write-In#2012#6
Kind, Ron#WI#3#Democratic#2012#217712
Boland, Ray#WI#3#Republican#2012#121713
Moore, Gwen#WI#4#Democratic#2012#235257
Sebring, Dan#WI#4#Republican#2012#80787
Raymond, Robert R.#WI#4#Independent#2012#9277
Sensenbrenner, F. James, Jr.#WI#5#Republican#2012#250335
Heaster, Dave#WI#5#Democratic#2012#118478
Petri, Tom#WI#6#Republican#2012#223460
Kallas, Joe#WI#6#Democratic#2012#135921
Duffy, Sean#WI#7#Republican#2012#201720
Kreitlow, Pat#WI#7#Democratic#2012#157524
Lehner, Dale C.#WI#7#Write-In#2012#20
Ribble, Reid J.#WI#8#Republican#2012#198874
Wall, Jamie#WI#8#Democratic#2012#156287
Lummis, Cynthia M.#WY#0#Republican#2012#166452
Henrichsen, Chris#WY#0#Democratic#2012#57573
Brubaker, Richard P.#WY#0#Libertarian#2012#8442
Cummings, Daniel Clyde#WY#0#Constitution#2012#4963
Wills, Don#WY#0#Country#2012#3775
Byrne, Bradley#AL#1#Republican#2014#103758
LeFlore, Burton R.#AL#1#Democratic#2014#48278
Roby, Martha#AL#2#Republican#2014#113103
Wright, Erick#AL#2#Democratic#2014#54692
Rogers, Mike#AL#3#Republican#2014#103558
Smith, Jesse T.#AL#3#Democratic#2014#52816
Aderholt, Robert#AL#4#Republican#2014#132831
Brooks, Mo#AL#5#Republican#2014#115338
Bray, Mark#AL#5#Independent#2014#39005
Palmer, Gary#AL#6#Republican#2014#135945
Lester, Mark#AL#6#Democratic#2014#42291
Sewell, Terri A.#AL#7#Democratic#2014#133687
Young, Don#AK#0#Republican#2014#142572
Dunbar, Forrest#AK#0#Democratic#2014#114602
McDermott, Jim C.#AK#0#Libertarian#2014#21290
Kirkpatrick, Ann#AZ#1#Democratic#2014#97391
Tobin, Andy#AZ#1#Republican#2014#87723
McSally, Martha#AZ#2#Republican#2014#109714
Barber, Ron#AZ#2#Democratic#2014#109547
Ramirez, Sampson U.#AZ#2#Write-In#2014#56
Dudikoff, Sydney#AZ#2#Write-In#2014#48
Grijalva, Raul#AZ#3#Democratic#2014#58192
Saucedo Mercer, Gabby#AZ#3#Republican#2014#46185
Sánchez, F.#AZ#3#Write-In#2014#43
Thompson, Lee#AZ#3#Write-In#2014#8
Gosar, Paul#AZ#4#Republican#2014#122560
Weisser, Mike#AZ#4#Democratic#2014#45179
Rike, Chris#AZ#4#Write-In,Libertarian,Libertarian#2014#7440
Salmon, Matt#AZ#5#Republican#2014#124867
Woods, James#AZ#5#Democratic#2014#54596
Schweikert, David#AZ#6#Republican#2014#129578
Williamson, W. John#AZ#6#Democratic#2014#70198
Gallego, Ruben#AZ#7#Democratic#2014#54235
Cobb, Joe#AZ#7#Libertarian#2014#10715
DeWitt, Rebecca#AZ#7#Write-In,Americans Elect,Americans Elect#2014#3858
Peñalosa, José#AZ#7#José Peñalosa#2014#3496
Dunn, Gary#AZ#7#Write-In#2014#129
Ortega, Gustavo#AZ#7#Write-In#2014#17
Esquivel, Samuel#AZ#7#Write-In#2014#4
Franks, Trent#AZ#8#Republican#2014#128710
Dolgos, Stephen#AZ#8#Write-In,Americans Elect,Americans Elect#2014#41066
Sinema, Kyrsten#AZ#9#Democratic#2014#88609
Rogers, Wendy#AZ#9#Republican#2014#67841
Gammill, Powell#AZ#9#Write-In,Libertarian,Libertarian#2014#5612
Crawford, Rick#AR#1#Republican#2014#124139
McPherson, Jackie#AR#1#Democratic#2014#63555
Willhite, Brian Scott#AR#1#Libertarian#2014#8562
Hill, French#AR#2#Republican#2014#123073
Hays, Patrick Henry#AR#2#Democratic#2014#103477
Standiford, Debbie#AR#2#Libertarian#2014#10590
Neely, Charles#AR#2#Write-In#2014#190
Womack, Steve#AR#3#Republican#2014#151630
Brand, Grant#AR#3#Libertarian#2014#39305
Westerman, Bruce#AR#4#Republican#2014#110789
Witt, James Lee#AR#4#Democratic#2014#87742
Hamilton, Ken#AR#4#Libertarian#2014#7598
Percefull, Janis K.#AR#4#Write-In#2014#2
La Malfa, Doug#CA#1#Republican#2014#132052
Hall, Heidi#CA#1#Democratic#2014#84320
Huffman, Jared#CA#2#Democratic#2014#163124
Mensing, Dale K.#CA#2#Republican#2014#54400
Garamendi, John#CA#3#Democratic#2014#79224
Logue, Dan#CA#3#Republican#2014#71036
McClintock, Tom#CA#4#Republican#2014#126784
"Moore, Arthur ""Art"""#CA#4#Republican#2014#84350
Thompson, Mike#CA#5#Democratic#2014#129613
Hinton, James#CA#5#No Party Preference#2014#41535
Matsui, Doris#CA#6#Democratic#2014#97008
McCray, Joseph, Sr.#CA#6#Republican#2014#36448
Bera, Ami#CA#7#Democratic#2014#92521
Ose, Doug#CA#7#Republican#2014#91066
Cook, Paul#CA#8#Republican#2014#77480
Conaway, Bob#CA#8#Democratic#2014#37056
McNerney, Jerry#CA#9#Democratic#2014#63475
"Amador, Antonio C. ""Tony"""#CA#9#Republican#2014#57729
Denham, Jeff#CA#10#Republican#2014#70582
Eggman, Michael#CA#10#Democratic#2014#55123
Desaulnier, Mark#CA#11#Democratic#2014#117502
Phan, Tue#CA#11#Republican#2014#57160
Pelosi, Nancy#CA#12#Democratic#2014#160067
Dennis, John#CA#12#Republican#2014#32197
Lee, Barbara#CA#13#Democratic#2014#168491
Sundeen, Dakin#CA#13#Republican#2014#21940
Speier, Jackie#CA#14#Democratic#2014#114389
Chew, Robin#CA#14#Republican#2014#34757
Swalwell, Eric#CA#15#Democratic#2014#99756
Bussell, Hugh#CA#15#Republican#2014#43150
Costa, Jim#CA#16#Democratic#2014#46277
Tacherra, Johnny#CA#16#Republican#2014#44943
Honda, Mike#CA#17#Democratic#2014#69561
Khanna, Ro#CA#17#Democratic#2014#64847
Eshoo, Anna G.#CA#18#Democratic#2014#133060
Fox, Richard B.#CA#18#Republican#2014#63326
Lofgren, Zoe#CA#19#Democratic#2014#85888
Murray, Robert#CA#19#Democratic#2014#41900
Farr, Sam#CA#20#Democratic#2014#106034
Kabat, Ronald Paul#CA#20#No Party Preference#2014#35010
Valadao, David#CA#21#Republican#2014#45907
Renteria, Amanda#CA#21#Democratic#2014#33470
Nunes, Devin G.#CA#22#Republican#2014#96053
"Augilera-Marrero, Suzanna ""Sam"""#CA#22#Democratic#2014#37289
McCarthy, Kevin#CA#23#Republican#2014#100317
Garcia, Raul#CA#23#Democratic#2014#33726
Capps, Lois#CA#24#Democratic#2014#103228
Mitchum, Chris#CA#24#Republican#2014#95566
Knight, Steve#CA#25#Republican#2014#60847
Strickland, Tony#CA#25#Republican#2014#53225
Brownley, Julia#CA#26#Democratic#2014#87176
Gorell, Jeff#CA#26#Republican#2014#82653
Chu, Judy#CA#27#Democratic#2014#75728
Orswell, Jack#CA#27#Republican#2014#51852
Schiff, Adam B.#CA#28#Democratic#2014#91996
