Year#District/State#Candidate Name#Vote Total#
2006#2 MD#Mathis, Jimmy Republican#60195#
2006#3 MD#Sarbanes, John P. Democratic#150142#
2006#3 MD#White, John Republican#79174#
2006#3 MD#McPeek, Charles Curtis, Sr. Libertarian#4941#
2006#4 MD#Wynn, Albert R. Democratic#141897#
2006#4 MD#Starkman, Michael Moshe Republican#32792#
2006#5 MD#Hoyer, Steny H. Democratic#168114#
2006#5 MD#Warner, Steve Green#33464#
2006#5 MD#Kuhnert, Peter Write-In#635#
2006#6 MD#Bartlett, Roscoe G. Republican#141200#
2006#6 MD#Duck, Andrew Democratic#92030#
2006#6 MD#Kozak, Robert E. Green#6095#
2006#7 MD#Cummings, Elijah Democratic#158830#
2006#8 MD#Van Hollen, Chris Democratic#168872#
2006#8 MD#Stein, Jeffrey M. Republican#48324#
2006#8 MD#Giblin, Gerard P. Green#3298#
2006#1 MA#Olver, John W. Democratic#158057#
2006#1 MA#Szych, William H. Unenrolled#48574#
2006#2 MA#Neal, Richard E. Democratic#164939#
2006#3 MA#McGovern, James P. Democratic#166973#
